ID,TIMESTAMP,TIMESTAMPGMT+1,Extraversion,Agreeableness,Conscientiousness,EmotionalStability,Creativity
539,1327921571,1/30/201212:06:00PM,2,1,5,5.5,4
539,1327929823,1/30/20122:23:00PM,4.5,5,5.5,7,3.5
539,1327939889,1/30/20125:11:00PM,3.5,5.5,6.5,6.5,4
539,1328015024,1/31/20122:03:00PM,3,4.5,4.5,6.5,3.5
539,1328028954,1/31/20125:55:00PM,4.5,5.5,6.5,5.5,5.5
539,1328093326,2/1/201211:48:00AM,3.5,4,6.5,5,4.5
539,1328105167,2/1/20123:06:00PM,5.5,5,7,5,4
539,1328112062,2/1/20125:01:00PM,1.5,5.5,5,6.5,3
539,1328179550,2/2/201211:45:00AM,3.5,6,6.5,5.5,4.5
539,1328189088,2/2/20122:24:00PM,4.5,6.5,6.5,7,4
539,1328198933,2/2/20125:08:00PM,3,6,5,6.5,3.5
539,1328264667,2/3/201211:24:00AM,3,3,6.5,5,2.5
539,1328274658,2/3/20122:10:00PM,3,5,6.5,6,4
539,1328609265,2/7/201211:07:00AM,2.5,6,7,5.5,3.5
539,1328620935,2/7/20122:22:00PM,4,1.5,4.5,3,4.5
539,1328631759,2/7/20125:22:00PM,3.5,3,5,5,2
539,1328698234,2/8/201211:50:00AM,2.5,3,5.5,3,3
539,1328707018,2/8/20122:16:00PM,3,6,3.5,3.5,4.5
539,1328716891,2/8/20125:01:00PM,3.5,6,6,5.5,4
539,1328783506,2/9/201211:31:00AM,5,7,6,6.5,6.5
539,1328793559,2/9/20122:19:00PM,5,5,6.5,7,3.5
539,1328869781,2/10/201211:29:00AM,1.5,5.5,5,5,4.5
539,1328879554,2/10/20122:12:00PM,4,5.5,6,6,4
539,1329130632,2/13/201211:57:00AM,4,5,6.5,5.5,4
539,1329139810,2/13/20122:30:00PM,4.5,6.5,5,5.5,3
539,1329148926,2/13/20125:02:00PM,3.5,4,5.5,4,3.5
539,1329215458,2/14/201211:30:00AM,1,4.5,6,6,4
539,1329225855,2/14/20122:24:00PM,1,6,6,6,2.5
539,1329236874,2/14/20125:27:00PM,4,4,6.5,3.5,3
539,1329307177,2/15/201212:59:00PM,3.5,4,6,4.5,4.5
539,1329312534,2/15/20122:28:00PM,4.5,4.5,5.5,1.5,3.5
539,1329322199,2/15/20125:09:00PM,2,5,4.5,1.5,5
539,1329388531,2/16/201211:35:00AM,4.5,5.5,4,5,5
539,1329397826,2/16/20122:10:00PM,4,6.5,6.5,6.5,3.5
539,1329408161,2/16/20125:02:00PM,4.5,4.5,6.5,6.5,4
539,1329475576,2/17/201211:46:00AM,4,7,6,6,6
539,1329484858,2/17/20122:20:00PM,5,6,6.5,6.5,5
539,1329734548,2/20/201211:42:00AM,3,5,5.5,6,3
539,1329744845,2/20/20122:34:00PM,4,6,5.5,6,3
539,1329819518,2/21/201211:18:00AM,2.5,4.5,4.5,5.5,2.5
539,1329829989,2/21/20122:13:00PM,1.5,5.5,6.5,7,3
539,1329840418,2/21/20125:06:00PM,3,6,5,7,3
539,1329908469,2/22/201212:01:00PM,3,5.5,5.5,5.5,3.5
539,1329917335,2/22/20122:28:00PM,3.5,4.5,5.5,6,3.5
539,1330082566,2/24/201212:22:00PM,4,5,6,5.5,4
539,1330089709,2/24/20122:21:00PM,4,5.5,5.5,6,4
539,1330100566,2/24/20125:22:00PM,3.5,2,4.5,4,4
539,1330339832,2/27/201211:50:00AM,2.5,6,6.5,6.5,3.5
539,1330350980,2/27/20122:56:00PM,3,6.5,6.5,6.5,3.5
539,1330358891,2/27/20125:08:00PM,3,5,5.5,6,3.5
539,1330423916,2/28/201211:11:00AM,2,5,5,7,3.5
539,1330434831,2/28/20122:13:00PM,4,6,5,6.5,3.5
539,1330513342,2/29/201212:02:00PM,2.5,5,6,4.5,4
539,1330525231,2/29/20123:20:00PM,3.5,6,6,6,5
539,1330531504,2/29/20125:05:00PM,3.5,5.5,6.5,6,3.5
539,1330598153,3/1/201211:35:00AM,3,4,5,5.5,4
539,1330607345,3/1/20122:09:00PM,4.5,7,6,6.5,4
539,1330620130,3/1/20125:42:00PM,3.5,4,6,4.5,4
539,1330944086,3/5/201211:41:00AM,3,5.5,5,4.5,3
539,1330956367,3/5/20123:06:00PM,3,5.5,6.5,5,4.5
539,1330963588,3/5/20125:06:00PM,2,6,5.5,5.5,4
539,1331035042,3/6/201212:57:00PM,1.5,6,6,6.5,3
539,1331040954,3/6/20122:35:00PM,4.5,6.5,5.5,7,4
539,1331051585,3/6/20125:33:00PM,1.5,3,6.5,6.5,4
539,1331123218,3/7/20121:26:00PM,4,5.5,7,4.5,4
539,1331127517,3/7/20122:38:00PM,4.5,3,5.5,6.5,4
539,1331205834,3/8/201212:23:00PM,4,7,3,6,4
539,1331212910,3/8/20122:21:00PM,4,5.5,3,6.5,4
539,1331224450,3/8/20125:34:00PM,2,6.5,6,6.5,4
539,1331289475,3/9/201211:37:00AM,2,6,6.5,6,5.5
